Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
2nd,B.Sc Computer Science,Network Security,MATLAB Python C,1,No,Business Analyst,Lack of resources,Workshops,9,9,15,12,13,17,19,16,Communication Adaptability Problem-Solving,4,120,Software Engineer
3rd,MCA,Network Security,Java Kotlin Swift,3,Yes,Cloud Architect,Time management,Mentorship programs,15,20,16,10,13,9,10,17,Emotional Intelligence Active Listening,2,120,Cybersecurity Analyst
1st,B.Sc Computer Science,IoT Applications,PHP JavaScript MySQL,2,Yes,Data Scientist,Team collaboration,Mentorship programs,9,17,14,14,9,10,15,17,Leadership Creativity Critical-Thinking,2,113,Software Engineer
4th,B.Sc Computer Science,Mobile App Development,Julia Python R,1,No,AI Engineer,Time management,Online resources,20,8,11,18,19,17,16,8,Strategic Thinking Analytical Skills,1,121,Software Engineer
2nd,M.Sc Data Science,AI Fundamentals,JavaScript TypeScript Python,5,Yes,Cloud Architect,Procrastination,Online resources,8,11,10,20,12,12,17,16,Strategic Thinking Analytical Skills,3,122,Cybersecurity Analyst
2nd,B.Tech IT,Cloud Infrastructure,Python Java C++,1,Yes,Business Analyst,Lack of resources,Workshops,14,5,5,14,16,18,11,20,Collaboration Empathy Teamwork,2,109,Cybersecurity Analyst
1st,MBA,Business Intelligence,Python Java C++,1,No,Cloud Architect,Time management,Online resources,8,5,10,16,19,8,19,20,Collaboration Empathy Teamwork,5,117,Software Engineer
2nd,MBA,Business Intelligence,Java Kotlin Swift,5,No,AI Engineer,Presentation skills,Workshops,15,5,18,10,14,17,20,18,Presentation Skills Public Speaking,1,129,Cloud Architect
4th,B.Tech IT,Blockchain Development,C# .NET SQL,2,No,Cloud Architect,Team collaboration,Internships,8,15,10,18,18,10,11,10,Communication Adaptability Problem-Solving,5,114,Software Engineer
1st,B.Sc Computer Science,DevOps,Java Kotlin Swift,5,Yes,Software Engineer,Presentation skills,Workshops,10,10,10,17,10,16,11,17,Presentation Skills Public Speaking,5,121,Cybersecurity Analyst
2nd,B.Sc Computer Science,Cloud Infrastructure,Scala Java Python,1,No,Cloud Architect,Team collaboration,Online resources,14,18,18,15,12,19,17,19,Decision-Making Flexibility Innovation,3,140,AI Engineer
4th,M.Sc Data Science,Cloud Security,Python R SQL,4,Yes,Cybersecurity Analyst,Presentation skills,Peer groups,16,17,19,14,18,13,10,8,Time-Management Resilience Negotiation,1,125,Software Engineer
4th,B.Tech CSE,Deep Learning,Python R SQL,2,No,Business Analyst,Team collaboration,Internships,12,9,11,13,16,10,15,20,Emotional Intelligence Active Listening,2,114,Cybersecurity Analyst
4th,B.Sc Computer Science,Penetration Testing,PHP JavaScript MySQL,2,No,Cybersecurity Analyst,Time management,Online resources,16,8,10,19,15,10,10,13,Presentation Skills Public Speaking,1,107,Cybersecurity Analyst
3rd,B.Sc Computer Science,IoT Applications,Python Go Rust,4,No,Business Analyst,Lack of resources,Internships,12,6,20,14,12,11,15,19,Time-Management Resilience Negotiation,3,123,Cybersecurity Analyst
4th,B.Tech CSE,IoT Applications,C# .NET SQL,3,Yes,AI Engineer,Presentation skills,Workshops,9,13,8,17,8,20,17,12,Decision-Making Flexibility Innovation,2,114,Cybersecurity Analyst
2nd,MCA,Computer Vision,PHP JavaScript MySQL,4,Yes,Cybersecurity Analyst,Procrastination,Online resources,14,14,11,17,15,10,13,8,Presentation Skills Public Speaking,1,112,Software Engineer
4th,B.Tech IT,Blockchain Development,MATLAB Python C,2,Yes,Cloud Architect,Procrastination,Mentorship programs,11,6,19,14,12,19,15,8,Conflict Resolution Team Leadership,5,118,Software Engineer
3rd,MBA,Mobile App Development,Python Go Rust,3,No,Business Analyst,Team collaboration,Mentorship programs,8,7,13,18,12,20,11,15,Conflict Resolution Team Leadership,3,116,Cybersecurity Analyst
4th,B.Tech CSE,AI Fundamentals,PHP JavaScript MySQL,1,No,Software Engineer,Interview anxiety,Online resources,18,20,20,13,18,20,16,13,Strategic Thinking Analytical Skills,3,146,Cloud Architect
3rd,B.Sc Computer Science,Mobile App Development,Python R SQL,3,Yes,AI Engineer,Interview anxiety,Workshops,16,17,12,18,17,11,20,13,Collaboration Empathy Teamwork,1,132,AI Engineer
2nd,B.Tech CSE,IoT Applications,Scala Java Python,3,Yes,Cybersecurity Analyst,Procrastination,Peer groups,16,11,12,19,8,13,16,19,Decision-Making Flexibility Innovation,3,126,AI Engineer
3rd,MBA,IoT Applications,Python Go Rust,5,Yes,Cloud Architect,Presentation skills,Mentorship programs,16,7,12,17,15,12,10,15,Emotional Intelligence Active Listening,1,116,Cybersecurity Analyst
4th,MBA,Full Stack Development,C# .NET SQL,1,No,Data Scientist,Time management,Peer groups,11,11,18,19,10,9,14,15,Decision-Making Flexibility Innovation,2,113,Software Engineer
4th,B.Sc Computer Science,Business Intelligence,R SAS Python,5,No,Cloud Architect,Time management,Peer groups,18,14,14,13,9,14,17,12,Leadership Creativity Critical-Thinking,1,123,Cybersecurity Analyst
2nd,B.Sc Computer Science,Full Stack Development,Python Go Rust,4,No,AI Engineer,Team collaboration,Peer groups,12,11,18,17,13,16,11,10,Strategic Thinking Analytical Skills,4,124,Cybersecurity Analyst
4th,B.Tech CSE,Full Stack Development,Java Kotlin Swift,2,Yes,Data Scientist,Interview anxiety,Internships,18,17,15,11,9,17,14,16,Communication Adaptability Problem-Solving,5,131,Data Scientist
1st,MBA,Cloud Infrastructure,PHP JavaScript MySQL,4,Yes,Software Engineer,Interview anxiety,Internships,17,20,16,12,15,14,13,11,Time-Management Resilience Negotiation,3,132,Cloud Architect
2nd,M.Sc Data Science,Business Intelligence,Python Go Rust,3,Yes,AI Engineer,Team collaboration,Online resources,17,5,12,20,13,18,14,10,Leadership Creativity Critical-Thinking,3,121,Cybersecurity Analyst
1st,MBA,Mobile App Development,Python Go Rust,3,Yes,Cloud Architect,Team collaboration,Online resources,14,11,9,10,20,20,20,7,Conflict Resolution Team Leadership,5,127,AI Engineer
2nd,B.Tech IT,Embedded Systems,Python Go Rust,4,No,Cybersecurity Analyst,Procrastination,Online resources,20,12,9,10,20,13,15,10,Presentation Skills Public Speaking,3,123,Cybersecurity Analyst
4th,B.Sc Computer Science,IoT Applications,JavaScript TypeScript Python,5,Yes,Software Engineer,Time management,Peer groups,14,13,11,12,8,8,18,14,Emotional Intelligence Active Listening,1,110,Cybersecurity Analyst
1st,B.Tech CSE,Cloud Security,MATLAB Python C,1,No,Software Engineer,Interview anxiety,Workshops,10,17,5,19,16,18,11,14,Emotional Intelligence Active Listening,5,122,Software Engineer
1st,MCA,Data Engineering,Python Java C++,5,No,Cloud Architect,Presentation skills,Peer groups,13,20,13,20,12,11,17,5,Communication Adaptability Problem-Solving,5,131,AI Engineer
2nd,B.Sc Computer Science,Network Security,Python Go Rust,1,No,Cloud Architect,Lack of resources,Peer groups,15,10,15,10,12,11,17,13,Decision-Making Flexibility Innovation,4,113,Software Engineer
3rd,B.Sc Computer Science,IoT Applications,JavaScript TypeScript Python,4,No,Cybersecurity Analyst,Presentation skills,Workshops,17,14,13,13,20,20,13,15,Presentation Skills Public Speaking,2,137,Cloud Architect
2nd,MCA,Mobile App Development,R SAS Python,5,No,Data Scientist,Lack of resources,Online resources,11,8,15,20,9,18,19,16,Decision-Making Flexibility Innovation,4,134,Data Scientist
1st,M.Sc Data Science,Full Stack Development,Julia Python R,4,No,Business Analyst,Time management,Peer groups,18,12,19,10,12,16,20,6,Time-Management Resilience Negotiation,1,123,Software Engineer
4th,MCA,Deep Learning,Python Go Rust,4,Yes,Data Scientist,Presentation skills,Peer groups,15,15,8,19,13,17,11,6,Time-Management Resilience Negotiation,3,118,Cybersecurity Analyst
2nd,B.Sc Computer Science,Embedded Systems,Java Kotlin Swift,3,Yes,Cybersecurity Analyst,Presentation skills,Workshops,18,12,9,15,14,20,17,16,Conflict Resolution Team Leadership,5,137,Data Scientist
2nd,MCA,Embedded Systems,MATLAB Python C,2,No,Business Analyst,Team collaboration,Internships,9,11,18,18,15,16,11,12,Leadership Creativity Critical-Thinking,2,118,Cybersecurity Analyst
2nd,B.Tech CSE,Data Visualization,C# .NET SQL,2,No,Cybersecurity Analyst,Procrastination,Internships,12,13,11,16,10,10,15,6,Strategic Thinking Analytical Skills,4,105,Business Analyst
3rd,MCA,Penetration Testing,Java Kotlin Swift,1,No,AI Engineer,Interview anxiety,Internships,13,18,18,11,14,8,20,17,Decision-Making Flexibility Innovation,1,123,Software Engineer
2nd,M.Sc Data Science,Deep Learning,MATLAB Python C,1,Yes,Business Analyst,Interview anxiety,Mentorship programs,8,5,7,12,9,19,18,17,Presentation Skills Public Speaking,1,99,Business Analyst
1st,B.Tech CSE,Data Visualization,MATLAB Python C,4,Yes,Cybersecurity Analyst,Interview anxiety,Mentorship programs,12,6,11,20,18,20,12,13,Time-Management Resilience Negotiation,4,128,Cloud Architect
3rd,MBA,Computer Vision,MATLAB Python C,2,No,Data Scientist,Procrastination,Peer groups,12,9,14,16,15,18,19,5,Leadership Creativity Critical-Thinking,4,120,Cybersecurity Analyst
4th,B.Tech CSE,Full Stack Development,Julia Python R,1,Yes,Business Analyst,Procrastination,Workshops,19,12,13,14,8,18,14,15,Decision-Making Flexibility Innovation,1,117,Software Engineer
2nd,B.Tech CSE,Data Engineering,C# .NET SQL,3,No,Data Scientist,Interview anxiety,Internships,9,8,19,17,19,14,13,17,Strategic Thinking Analytical Skills,4,130,Cloud Architect
4th,MCA,Full Stack Development,Python Go Rust,1,No,AI Engineer,Interview anxiety,Online resources,8,11,16,19,18,19,15,18,Decision-Making Flexibility Innovation,3,132,AI Engineer
4th,MBA,Blockchain Development,PHP JavaScript MySQL,5,No,Cybersecurity Analyst,Interview anxiety,Mentorship programs,15,9,20,11,10,8,10,18,Decision-Making Flexibility Innovation,1,113,Cybersecurity Analyst
4th,B.Sc Computer Science,Business Intelligence,MATLAB Python C,2,Yes,Cybersecurity Analyst,Presentation skills,Online resources,14,14,8,16,9,13,15,16,Leadership Creativity Critical-Thinking,5,119,Software Engineer
4th,MBA,Data Engineering,MATLAB Python C,3,No,Cybersecurity Analyst,Time management,Internships,18,15,7,13,20,19,14,20,Presentation Skills Public Speaking,1,134,AI Engineer
1st,MCA,Cloud Infrastructure,PHP JavaScript MySQL,2,Yes,AI Engineer,Team collaboration,Peer groups,15,8,19,11,18,20,17,9,Conflict Resolution Team Leadership,2,125,Cybersecurity Analyst
3rd,B.Sc Computer Science,DevOps,R SAS Python,1,Yes,AI Engineer,Interview anxiety,Peer groups,15,7,7,13,20,18,17,13,Collaboration Empathy Teamwork,3,118,Software Engineer
3rd,MCA,Cloud Infrastructure,Java Kotlin Swift,2,No,AI Engineer,Lack of resources,Workshops,14,8,13,15,10,9,12,16,Presentation Skills Public Speaking,1,103,Business Analyst
4th,B.Tech CSE,Cloud Infrastructure,JavaScript TypeScript Python,2,Yes,Cloud Architect,Team collaboration,Workshops,13,8,6,15,18,9,17,8,Emotional Intelligence Active Listening,2,102,Business Analyst
1st,MCA,Network Security,Scala Java Python,5,No,Cybersecurity Analyst,Team collaboration,Mentorship programs,20,13,19,12,8,15,19,16,Conflict Resolution Team Leadership,3,138,Data Scientist
2nd,B.Tech CSE,Deep Learning,C# .NET SQL,3,Yes,AI Engineer,Presentation skills,Peer groups,15,7,5,10,12,10,15,10,Communication Adaptability Problem-Solving,4,98,Business Analyst
2nd,MBA,Mobile App Development,PHP JavaScript MySQL,5,No,Business Analyst,Team collaboration,Workshops,9,8,12,16,8,20,10,12,Presentation Skills Public Speaking,2,109,Software Engineer
3rd,B.Tech IT,Penetration Testing,C# .NET SQL,4,Yes,Cybersecurity Analyst,Lack of resources,Peer groups,10,5,9,16,8,19,15,6,Leadership Creativity Critical-Thinking,3,102,Business Analyst
4th,B.Tech CSE,IoT Applications,C# .NET SQL,5,No,Data Scientist,Presentation skills,Internships,8,20,7,10,13,10,12,13,Conflict Resolution Team Leadership,3,109,Cybersecurity Analyst
3rd,B.Tech IT,Deep Learning,C# .NET SQL,1,Yes,Cloud Architect,Presentation skills,Mentorship programs,17,18,19,15,17,20,16,20,Time-Management Resilience Negotiation,4,152,AI Engineer
3rd,MCA,Full Stack Development,Julia Python R,5,No,Cybersecurity Analyst,Lack of resources,Internships,20,11,10,15,11,12,14,15,Communication Adaptability Problem-Solving,2,122,Cybersecurity Analyst
2nd,B.Tech CSE,Computer Vision,R SAS Python,3,Yes,Data Scientist,Interview anxiety,Online resources,12,12,16,18,14,20,11,5,Presentation Skills Public Speaking,4,122,Cybersecurity Analyst
2nd,MCA,Deep Learning,Python Go Rust,5,Yes,Cloud Architect,Time management,Workshops,15,6,13,18,12,12,11,16,Communication Adaptability Problem-Solving,4,121,Cybersecurity Analyst
3rd,M.Sc Data Science,Embedded Systems,MATLAB Python C,3,Yes,Cloud Architect,Presentation skills,Online resources,17,15,7,16,10,19,13,10,Decision-Making Flexibility Innovation,5,123,Software Engineer
4th,M.Sc Data Science,AI Fundamentals,Java Kotlin Swift,3,Yes,Data Scientist,Presentation skills,Internships,14,7,12,15,20,10,11,19,Emotional Intelligence Active Listening,4,122,Software Engineer
1st,MCA,Penetration Testing,MATLAB Python C,1,No,Data Scientist,Lack of resources,Mentorship programs,18,9,17,14,11,15,20,5,Leadership Creativity Critical-Thinking,2,115,Software Engineer
4th,B.Sc Computer Science,NLP,Python Java C++,2,No,Software Engineer,Presentation skills,Workshops,20,18,18,10,11,16,18,20,Strategic Thinking Analytical Skills,4,143,Data Scientist
4th,B.Sc Computer Science,Mobile App Development,Python R SQL,1,Yes,Cloud Architect,Team collaboration,Workshops,14,17,15,18,16,9,18,9,Collaboration Empathy Teamwork,4,126,AI Engineer
4th,B.Tech IT,Computer Vision,Python R SQL,1,Yes,Business Analyst,Time management,Online resources,20,7,17,17,20,11,17,13,Strategic Thinking Analytical Skills,3,130,AI Engineer
2nd,B.Sc Computer Science,Penetration Testing,MATLAB Python C,5,No,Business Analyst,Presentation skills,Online resources,11,20,7,12,11,15,14,5,Presentation Skills Public Speaking,2,109,Cybersecurity Analyst
1st,B.Sc Computer Science,Deep Learning,Java Kotlin Swift,2,Yes,Software Engineer,Lack of resources,Peer groups,12,17,8,20,20,20,12,20,Presentation Skills Public Speaking,4,141,AI Engineer
4th,B.Sc Computer Science,NLP,R SAS Python,1,No,Cybersecurity Analyst,Lack of resources,Workshops,17,18,10,15,18,20,11,18,Time-Management Resilience Negotiation,5,139,Cloud Architect
1st,B.Sc Computer Science,AI Fundamentals,R SAS Python,3,No,Cloud Architect,Procrastination,Internships,15,11,19,15,15,13,12,11,Emotional Intelligence Active Listening,5,127,Cloud Architect
1st,B.Sc Computer Science,Mobile App Development,MATLAB Python C,5,No,Software Engineer,Time management,Peer groups,13,6,9,18,18,14,20,7,Time-Management Resilience Negotiation,2,119,Cybersecurity Analyst
2nd,B.Tech CSE,Data Visualization,PHP JavaScript MySQL,1,No,Data Scientist,Interview anxiety,Peer groups,14,13,15,20,11,20,17,7,Emotional Intelligence Active Listening,5,129,Cloud Architect
3rd,M.Sc Data Science,Computer Vision,C# .NET SQL,3,No,Data Scientist,Interview anxiety,Workshops,18,17,7,12,20,20,20,5,Collaboration Empathy Teamwork,5,135,Data Scientist
2nd,MCA,Business Intelligence,Java Kotlin Swift,3,Yes,Data Scientist,Team collaboration,Workshops,13,6,5,17,14,18,14,9,Communication Adaptability Problem-Solving,1,104,Business Analyst
2nd,B.Tech CSE,Computer Vision,Julia Python R,3,Yes,Cybersecurity Analyst,Time management,Peer groups,15,12,20,10,19,13,15,5,Strategic Thinking Analytical Skills,4,123,Cybersecurity Analyst
1st,MBA,Network Security,Julia Python R,2,Yes,Data Scientist,Procrastination,Online resources,17,6,13,15,12,15,14,19,Communication Adaptability Problem-Solving,5,125,Software Engineer
3rd,B.Tech IT,DevOps,Python Go Rust,1,No,Business Analyst,Team collaboration,Workshops,19,18,20,11,20,8,14,10,Emotional Intelligence Active Listening,5,132,AI Engineer
3rd,MBA,Mobile App Development,JavaScript TypeScript Python,4,Yes,AI Engineer,Time management,Mentorship programs,13,18,12,16,20,16,14,8,Collaboration Empathy Teamwork,3,131,AI Engineer
1st,B.Tech CSE,Network Security,Scala Java Python,4,No,AI Engineer,Team collaboration,Workshops,20,14,7,18,14,12,14,8,Collaboration Empathy Teamwork,4,123,Cybersecurity Analyst
3rd,MCA,Blockchain Development,Julia Python R,4,No,AI Engineer,Time management,Workshops,10,11,10,11,14,18,13,19,Presentation Skills Public Speaking,5,124,Cybersecurity Analyst
4th,MBA,Network Security,Python Java C++,4,No,AI Engineer,Lack of resources,Online resources,12,16,5,16,14,10,16,15,Time-Management Resilience Negotiation,3,118,Cybersecurity Analyst
1st,B.Tech CSE,Data Engineering,MATLAB Python C,2,Yes,Business Analyst,Interview anxiety,Internships,8,13,9,13,9,20,19,5,Emotional Intelligence Active Listening,4,108,Software Engineer
4th,MBA,DevOps,R SAS Python,1,Yes,Data Scientist,Presentation skills,Online resources,9,10,9,15,8,17,18,12,Collaboration Empathy Teamwork,2,104,Business Analyst
4th,B.Tech IT,Blockchain Development,Scala Java Python,4,No,Cybersecurity Analyst,Team collaboration,Peer groups,10,8,9,16,12,20,15,8,Presentation Skills Public Speaking,3,112,Cybersecurity Analyst
2nd,MBA,Penetration Testing,Python Java C++,4,Yes,Data Scientist,Interview anxiety,Mentorship programs,10,16,16,14,15,14,10,14,Communication Adaptability Problem-Solving,4,125,Software Engineer
4th,MCA,Data Engineering,PHP JavaScript MySQL,3,No,Software Engineer,Team collaboration,Peer groups,10,18,15,18,16,15,13,10,Decision-Making Flexibility Innovation,3,127,Cloud Architect
3rd,B.Tech IT,Cloud Infrastructure,Python R SQL,2,No,AI Engineer,Team collaboration,Peer groups,19,14,11,17,11,17,11,5,Collaboration Empathy Teamwork,1,111,Cybersecurity Analyst
1st,B.Tech CSE,Data Engineering,Python Go Rust,4,Yes,AI Engineer,Team collaboration,Mentorship programs,12,14,19,13,18,19,18,16,Collaboration Empathy Teamwork,1,139,AI Engineer
3rd,B.Tech IT,Network Security,Java Kotlin Swift,4,No,Software Engineer,Team collaboration,Internships,9,19,11,14,15,9,11,12,Time-Management Resilience Negotiation,2,112,Software Engineer
1st,B.Sc Computer Science,Data Visualization,JavaScript TypeScript Python,1,Yes,AI Engineer,Time management,Mentorship programs,18,18,9,17,19,18,12,8,Decision-Making Flexibility Innovation,2,125,Software Engineer
4th,MBA,Data Engineering,Python Java C++,2,Yes,AI Engineer,Lack of resources,Workshops,16,16,5,19,17,19,11,16,Communication Adaptability Problem-Solving,4,131,AI Engineer
3rd,B.Tech IT,Full Stack Development,Julia Python R,4,Yes,Cloud Architect,Procrastination,Internships,17,9,13,12,15,14,10,11,Time-Management Resilience Negotiation,1,111,Cybersecurity Analyst
1st,MCA,Network Security,Python Go Rust,4,No,Cloud Architect,Interview anxiety,Internships,20,10,14,16,9,18,18,18,Strategic Thinking Analytical Skills,5,141,AI Engineer
1st,MBA,DevOps,Julia Python R,3,No,Software Engineer,Interview anxiety,Workshops,14,8,14,17,16,8,16,10,Conflict Resolution Team Leadership,4,117,Cybersecurity Analyst
2nd,B.Tech CSE,Cloud Security,Python R SQL,5,No,Data Scientist,Procrastination,Mentorship programs,20,12,9,15,15,17,19,14,Strategic Thinking Analytical Skills,1,133,Cloud Architect
2nd,MBA,Full Stack Development,Python Go Rust,1,No,Cybersecurity Analyst,Procrastination,Peer groups,17,12,7,20,16,12,13,18,Emotional Intelligence Active Listening,4,125,Cybersecurity Analyst
1st,MBA,Business Intelligence,JavaScript TypeScript Python,5,No,AI Engineer,Procrastination,Peer groups,17,12,9,11,15,12,20,16,Decision-Making Flexibility Innovation,1,124,Software Engineer
3rd,M.Sc Data Science,Embedded Systems,JavaScript TypeScript Python,3,Yes,Data Scientist,Interview anxiety,Workshops,12,12,12,16,20,9,15,15,Conflict Resolution Team Leadership,4,125,Cybersecurity Analyst
4th,B.Tech CSE,Mobile App Development,C# .NET SQL,2,No,Cybersecurity Analyst,Lack of resources,Peer groups,10,12,17,12,16,11,19,6,Leadership Creativity Critical-Thinking,5,117,Cybersecurity Analyst
2nd,B.Sc Computer Science,Mobile App Development,JavaScript TypeScript Python,2,Yes,AI Engineer,Team collaboration,Online resources,17,9,8,19,16,14,12,11,Collaboration Empathy Teamwork,3,116,Software Engineer
2nd,M.Sc Data Science,Cloud Infrastructure,C# .NET SQL,2,Yes,Data Scientist,Time management,Peer groups,16,11,12,19,10,15,11,16,Leadership Creativity Critical-Thinking,4,122,Cybersecurity Analyst
4th,B.Sc Computer Science,Blockchain Development,Python Go Rust,1,Yes,Software Engineer,Procrastination,Mentorship programs,14,17,7,12,14,13,13,10,Leadership Creativity Critical-Thinking,5,112,Software Engineer
4th,MBA,IoT Applications,C# .NET SQL,1,Yes,Cybersecurity Analyst,Procrastination,Workshops,15,11,9,14,12,17,18,18,Time-Management Resilience Negotiation,2,120,Cybersecurity Analyst
4th,M.Sc Data Science,Cloud Security,Python Go Rust,4,Yes,Cybersecurity Analyst,Time management,Online resources,12,16,17,13,17,16,13,8,Strategic Thinking Analytical Skills,1,122,Cybersecurity Analyst
4th,B.Tech CSE,DevOps,MATLAB Python C,5,Yes,Cybersecurity Analyst,Interview anxiety,Mentorship programs,10,8,14,15,12,16,11,6,Conflict Resolution Team Leadership,5,112,Cybersecurity Analyst
2nd,M.Sc Data Science,Deep Learning,JavaScript TypeScript Python,5,No,Data Scientist,Team collaboration,Internships,11,15,14,10,10,10,15,9,Decision-Making Flexibility Innovation,1,106,Cybersecurity Analyst
4th,B.Tech IT,Full Stack Development,MATLAB Python C,4,No,Software Engineer,Interview anxiety,Peer groups,13,19,19,11,17,16,10,11,Communication Adaptability Problem-Solving,5,134,Cloud Architect
1st,M.Sc Data Science,Blockchain Development,MATLAB Python C,2,Yes,Cloud Architect,Procrastination,Online resources,18,9,8,16,16,8,16,6,Strategic Thinking Analytical Skills,3,107,Cybersecurity Analyst
3rd,MCA,Data Visualization,Python Go Rust,5,Yes,Software Engineer,Presentation skills,Peer groups,9,12,5,15,11,20,18,7,Decision-Making Flexibility Innovation,2,111,Software Engineer
3rd,B.Sc Computer Science,NLP,C# .NET SQL,2,Yes,Data Scientist,Procrastination,Workshops,14,13,11,11,13,19,14,17,Communication Adaptability Problem-Solving,4,124,Software Engineer
4th,B.Tech CSE,Mobile App Development,MATLAB Python C,5,No,Business Analyst,Team collaboration,Online resources,15,11,19,19,14,9,12,6,Collaboration Empathy Teamwork,2,119,Cybersecurity Analyst
1st,MCA,Embedded Systems,Java Kotlin Swift,4,Yes,Cybersecurity Analyst,Procrastination,Mentorship programs,9,16,14,15,17,15,13,11,Emotional Intelligence Active Listening,3,124,Software Engineer
2nd,MBA,Blockchain Development,R SAS Python,3,No,AI Engineer,Procrastination,Online resources,15,7,13,20,8,19,13,6,Presentation Skills Public Speaking,4,115,Cybersecurity Analyst
4th,B.Tech CSE,Network Security,Julia Python R,3,Yes,Cloud Architect,Procrastination,Internships,14,19,5,10,9,19,15,20,Strategic Thinking Analytical Skills,3,123,Software Engineer
4th,MCA,Deep Learning,PHP JavaScript MySQL,5,No,Cybersecurity Analyst,Interview anxiety,Mentorship programs,14,18,5,14,20,15,18,14,Conflict Resolution Team Leadership,5,138,Data Scientist
2nd,B.Sc Computer Science,NLP,Scala Java Python,4,No,Business Analyst,Presentation skills,Mentorship programs,19,12,12,13,18,12,19,14,Conflict Resolution Team Leadership,2,131,AI Engineer
3rd,B.Tech CSE,Cloud Infrastructure,JavaScript TypeScript Python,3,Yes,Business Analyst,Time management,Workshops,15,15,7,18,20,13,20,18,Emotional Intelligence Active Listening,4,140,Cloud Architect
4th,B.Tech IT,Business Intelligence,Python R SQL,3,Yes,Software Engineer,Lack of resources,Mentorship programs,10,11,13,12,8,16,15,10,Leadership Creativity Critical-Thinking,4,109,Cybersecurity Analyst
2nd,B.Sc Computer Science,Penetration Testing,Java Kotlin Swift,3,No,Cybersecurity Analyst,Team collaboration,Mentorship programs,11,20,14,16,10,12,13,15,Decision-Making Flexibility Innovation,3,123,Software Engineer
2nd,B.Tech IT,Embedded Systems,Julia Python R,5,No,Software Engineer,Time management,Mentorship programs,15,17,10,20,16,14,14,15,Presentation Skills Public Speaking,3,137,AI Engineer
3rd,B.Tech CSE,NLP,Python Java C++,2,Yes,Cloud Architect,Presentation skills,Mentorship programs,12,7,12,20,19,12,12,6,Conflict Resolution Team Leadership,2,108,Cybersecurity Analyst
2nd,M.Sc Data Science,Network Security,PHP JavaScript MySQL,1,Yes,AI Engineer,Lack of resources,Peer groups,19,12,11,16,18,9,16,10,Emotional Intelligence Active Listening,1,115,Cybersecurity Analyst
1st,M.Sc Data Science,NLP,JavaScript TypeScript Python,2,No,Business Analyst,Procrastination,Peer groups,10,16,18,19,14,16,13,17,Communication Adaptability Problem-Solving,4,135,Cloud Architect
2nd,M.Sc Data Science,Data Visualization,C# .NET SQL,2,No,Cybersecurity Analyst,Interview anxiety,Online resources,9,10,18,13,14,13,18,6,Conflict Resolution Team Leadership,5,115,Cybersecurity Analyst
3rd,M.Sc Data Science,Cloud Security,Python Java C++,1,No,Cloud Architect,Presentation skills,Internships,14,19,7,13,16,8,16,17,Leadership Creativity Critical-Thinking,5,122,Software Engineer
1st,B.Sc Computer Science,Data Visualization,MATLAB Python C,4,No,Cybersecurity Analyst,Presentation skills,Workshops,10,12,16,13,8,10,17,12,Strategic Thinking Analytical Skills,2,110,Software Engineer
1st,MCA,Computer Vision,Python R SQL,1,No,AI Engineer,Time management,Peer groups,19,6,16,10,13,15,18,11,Emotional Intelligence Active Listening,5,120,Software Engineer
4th,B.Tech IT,Deep Learning,Julia Python R,1,Yes,AI Engineer,Procrastination,Online resources,13,8,9,11,20,9,10,14,Collaboration Empathy Teamwork,2,100,Business Analyst
4th,M.Sc Data Science,Data Engineering,Python Java C++,4,No,Cybersecurity Analyst,Procrastination,Internships,12,19,10,14,8,12,18,12,Presentation Skills Public Speaking,3,119,Software Engineer
4th,M.Sc Data Science,IoT Applications,PHP JavaScript MySQL,2,No,Data Scientist,Lack of resources,Online resources,20,12,15,10,18,18,13,12,Time-Management Resilience Negotiation,5,132,Cloud Architect
4th,MBA,Data Engineering,Python Java C++,4,No,Cybersecurity Analyst,Procrastination,Workshops,20,13,11,20,16,17,12,13,Decision-Making Flexibility Innovation,3,136,Data Scientist
3rd,B.Sc Computer Science,AI Fundamentals,C# .NET SQL,4,No,Business Analyst,Interview anxiety,Peer groups,15,5,9,16,20,11,11,19,Collaboration Empathy Teamwork,5,124,Cybersecurity Analyst
4th,M.Sc Data Science,Cloud Infrastructure,R SAS Python,4,No,Business Analyst,Time management,Internships,9,9,20,20,15,15,19,16,Decision-Making Flexibility Innovation,3,137,Cloud Architect
3rd,B.Sc Computer Science,AI Fundamentals,Python R SQL,1,Yes,Data Scientist,Lack of resources,Workshops,12,7,9,20,14,9,11,9,Conflict Resolution Team Leadership,1,95,Business Analyst
4th,B.Sc Computer Science,Network Security,Julia Python R,4,Yes,Data Scientist,Procrastination,Peer groups,9,19,9,17,19,11,18,10,Presentation Skills Public Speaking,1,122,Cybersecurity Analyst
2nd,MCA,Blockchain Development,Python R SQL,5,No,Data Scientist,Interview anxiety,Workshops,19,14,10,12,10,17,12,14,Emotional Intelligence Active Listening,1,120,Cybersecurity Analyst
4th,B.Tech CSE,Data Engineering,C# .NET SQL,3,No,Cloud Architect,Procrastination,Workshops,19,17,14,15,16,13,16,16,Communication Adaptability Problem-Solving,4,140,Cloud Architect
